Date,CME-MINI S&P 500 INDEX CONT. - SETT. PRICE,CME-MINI S&P 500 INDEX DEC 2023 - SETT. PRICE,Date.1,CALL ISM DEC23 4000 - OPTION DELTA,CALL ISM DEC23 4000 - OPTION GAMMA,CALL ISM DEC23 4000,PUT ISM DEC23 4000 - OPTION DELTA,PUT ISM DEC23 4000 - OPTION GAMMA,PUT ISM DEC23 4000,CALL ISM DEC23 4200 - OPTION DELTA,CALL ISM DEC23 4200 - OPTION GAMMA,CALL ISM DEC23 4200,PUT ISM DEC23 4200 - OPTION DELTA,PUT ISM DEC23 4200 - OPTION GAMMA,PUT ISM DEC23 4200,CALL ISM DEC23 4400 - OPTION DELTA,CALL ISM DEC23 4400 - OPTION GAMMA,CALL ISM DEC23 4400,PUT ISM DEC23 4400 - OPTION DELTA,PUT ISM DEC23 4400 - OPTION GAMMA,PUT ISM DEC23 4400,CALL ISM DEC23 4600 - OPTION DELTA,CALL ISM DEC23 4600 - OPTION GAMMA,CALL ISM DEC23 4600,PUT ISM DEC23 4600 - OPTION DELTA,PUT ISM DEC23 4600 - OPTION GAMMA,PUT ISM DEC23 4600,CALL ISM DEC23 4800 - OPTION DELTA,CALL ISM DEC23 4800 - OPTION GAMMA,CALL ISM DEC23 4800,PUT ISM DEC23 4800 - OPTION DELTA,PUT ISM DEC23 4800 - OPTION GAMMA,PUT ISM DEC23 4800
2022-03-07,4190.25,4230.0,2022-03-07,0.62207,0.00027,648.25,-0.36184,0.00027,422.25,0.56248,0.0003,530.75,-0.42109,0.00029,501.25,0.4985,0.00031,423.25,-0.48525,0.00032,590.5,0.4309,0.00033,327.25,-0.55386,0.00033,691.0,0.36114,0.00033,244.0,-0.62535,0.00034,804.75
2022-03-08,4160.5,4210.0,2022-03-08,0.61612,0.00028,632.25,-0.36693,0.00027,426.0,0.55559,0.0003,514.5,-0.4272,0.0003,504.5,0.49051,0.00032,407.75,-0.49249,0.00032,594.5,0.42208,0.00033,313.5,-0.56203,0.00034,696.75,0.35209,0.00033,232.75,-0.63396,0.00034,813.0
2022-03-09,4266.75,4322.0,2022-03-09,0.64605,0.00026,702.5,-0.3371,0.00026,386.25,0.58824,0.00029,577.75,-0.39431,0.00029,458.0,0.52548,0.00031,464.5,-0.45698,0.00031,541.0,0.45864,0.00033,363.0,-0.52447,0.00033,636.0,0.38887,0.00033,274.0,-0.59586,0.00034,743.5
2022-03-10,4248.0,4303.0,2022-03-10,0.64089,0.00027,686.5,-0.34167,0.00026,389.25,0.58224,0.00029,563.0,-0.3997,0.00029,462.0,0.5187,0.00031,451.0,-0.46323,0.00032,546.25,0.45134,0.00033,351.5,-0.53134,0.00033,643.0,0.38148,0.00033,264.75,-0.60294,0.00034,752.75
2022-03-11,4192.5,4248.0,2022-03-11,0.62607,0.00027,654.25,-0.35631,0.00027,411.0,0.56627,0.0003,534.0,-0.41565,0.0003,486.75,0.50162,0.00032,424.0,-0.48048,0.00032,573.25,0.43305,0.00033,326.5,-0.55017,0.00034,671.75,0.36242,0.00033,242.75,-0.62278,0.00034,784.75
2022-03-14,4163.5,4228.0,2022-03-14,0.62017,0.00027,645.5,-0.36142,0.00027,421.75,0.56035,0.0003,526.5,-0.42083,0.0003,499.0,0.49574,0.00032,417.5,-0.48574,0.00032,586.0,0.4271,0.00033,320.25,-0.5555,0.00034,685.25,0.35692,0.00033,238.0,-0.62796,0.00034,799.25
2022-03-15,4253.75,4317.0,2022-03-15,0.64393,0.00026,701.25,-0.33811,0.00026,390.75,0.58627,0.00029,576.75,-0.39509,0.00029,462.25,0.5234,0.00031,462.0,-0.45791,0.00031,543.25,0.45595,0.00033,358.75,-0.52617,0.00033,636.0,0.38565,0.00033,269.5,-0.59836,0.00034,743.0
2022-03-16,4349.5,4421.5,2022-03-16,0.67074,0.00025,765.5,-0.31149,0.00024,352.5,0.61537,0.00028,634.75,-0.3658,0.00027,417.75,0.55447,0.0003,513.25,-0.42629,0.0003,492.25,0.48816,0.00032,402.5,-0.4929,0.00033,577.5,0.41761,0.00034,305.0,-0.56491,0.00035,675.75
2022-03-17,4402.0,4473.5,2022-03-17,0.68429,0.00025,795.25,-0.29835,0.00024,331.75,0.62985,0.00027,661.75,-0.35154,0.00027,394.0,0.56971,0.0003,537.75,-0.41101,0.0003,465.75,0.50417,0.00032,424.75,-0.47676,0.00033,548.5,0.43406,0.00034,324.5,-0.54805,0.00035,644.0
2022-03-18,4453.5,4526.0,2022-03-18,0.69698,0.00024,830.75,-0.28584,0.00023,315.75,0.64392,0.00027,694.5,-0.33745,0.00026,375.5,0.58521,0.0003,568.5,-0.39536,0.00029,445.25,0.52107,0.00032,453.25,-0.4594,0.00032,525.5,0.45212,0.00033,349.5,-0.52929,0.00034,617.5
2022-03-21,4452.25,4532.0,2022-03-21,0.69869,0.00024,830.0,-0.28344,0.00023,309.25,0.64541,0.00027,692.75,-0.33515,0.00026,368.0,0.58631,0.0003,566.5,-0.39339,0.00029,437.5,0.52193,0.00032,452.5,-0.45759,0.00032,519.0,0.45353,0.00033,351.5,-0.52687,0.00034,613.75
2022-03-22,4505.0,4597.0,2022-03-22,0.71307,0.00023,878.5,-0.26922,0.00022,295.25,0.66186,0.00026,739.25,-0.31862,0.00025,351.5,0.60493,0.00029,608.0,-0.3743,0.00028,415.5,0.5421,0.00031,486.5,-0.43676,0.00031,489.5,0.47376,0.00033,377.5,-0.50566,0.00034,575.75
2022-03-23,4447.5,4537.0,2022-03-23,0.69939,0.00024,834.75,-0.28252,0.00023,310.0,0.64629,0.00027,698.5,-0.33394,0.00026,369.5,0.58759,0.0003,570.5,-0.39171,0.00029,436.75,0.52289,0.00032,452.25,-0.45622,0.00032,513.75,0.45293,0.00034,346.75,-0.52721,0.00035,603.5
2022-03-24,4512.5,4605.0,2022-03-24,0.71537,0.00023,882.0,-0.26699,0.00022,290.5,0.66427,0.00026,741.75,-0.31632,0.00025,346.0,0.60728,0.00029,609.5,-0.37202,0.00028,409.25,0.54424,0.00032,487.25,-0.43467,0.00032,482.25,0.47543,0.00034,377.25,-0.50396,0.00034,567.75
2022-03-25,4536.5,4638.0,2022-03-25,0.71537,0.00023,905.25,-0.26699,0.00022,281.75,0.66427,0.00026,763.5,-0.31632,0.00025,335.5,0.60728,0.00029,630.0,-0.37202,0.00028,397.75,0.54424,0.00032,506.75,-0.43467,0.00032,469.75,0.47543,0.00034,396.0,-0.50396,0.00034,554.0
2022-03-28,4568.0,4675.0,2022-03-28,0.73022,0.00022,934.25,-0.25227,0.00021,275.5,0.68117,0.00025,790.75,-0.29904,0.00024,327.25,0.62646,0.00028,655.25,-0.35222,0.00027,387.0,0.56563,0.00031,529.25,-0.41218,0.0003,456.25,0.49906,0.00033,415.25,-0.47901,0.00033,537.25
2022-03-29,4625.5,4734.0,2022-03-29,0.74244,0.00021,981.0,-0.2411,0.0002,264.75,0.69531,0.00024,835.0,-0.28587,0.00023,314.25,0.64258,0.00027,696.0,-0.33677,0.00026,370.5,0.58377,0.0003,566.25,-0.39458,0.0003,435.75,0.51888,0.00032,448.5,-0.45929,0.00032,512.75
2022-03-30,4596.0,4700.75,2022-03-30,0.73509,0.00022,958.25,-0.2482,0.00021,274.25,0.68716,0.00025,813.5,-0.29386,0.00024,325.0,0.6336,0.00027,677.0,-0.34581,0.00027,383.75,0.57408,0.0003,549.75,-0.40443,0.0003,451.5,0.50875,0.00032,434.0,-0.46983,0.00033,530.75
2022-03-31,4530.75,4636.75,2022-03-31,0.72121,0.00023,911.25,-0.26148,0.00021,289.75,0.67142,0.00025,770.25,-0.30927,0.00024,344.25,0.61605,0.00028,637.5,-0.36323,0.00028,406.5,0.55484,0.00031,513.75,-0.42382,0.00031,478.0,0.48808,0.00033,402.0,-0.49106,0.00033,561.0
2022-04-01,4539.25,4651.25,2022-04-01,0.72476,0.00022,918.0,-0.25738,0.00021,282.0,0.67513,0.00025,775.75,-0.30494,0.00024,335.5,0.61983,0.00028,641.5,-0.35877,0.00028,396.25,0.55845,0.00031,516.75,-0.41941,0.00031,466.75,0.49137,0.00033,404.0,-0.48686,0.00033,549.0
2022-04-04,4577.75,4690.25,2022-04-04,0.73325,0.00022,947.25,-0.24956,0.00021,273.75,0.68465,0.00025,803.75,-0.29584,0.00024,325.75,0.63059,0.00028,667.5,-0.34826,0.00027,384.5,0.57047,0.0003,540.25,-0.4075,0.0003,452.25,0.50437,0.00033,424.5,-0.47374,0.00033,531.5
2022-04-05,4520.25,4639.25,2022-04-05,0.72092,0.00022,913.25,-0.26071,0.00021,289.75,0.67123,0.00025,772.25,-0.30829,0.00024,344.0,0.61601,0.00028,639.5,-0.36203,0.00027,406.5,0.55507,0.0003,516.75,-0.4223,0.0003,478.5,0.48881,0.00033,405.5,-0.48895,0.00033,562.25
2022-04-06,4475.75,4594.25,2022-04-06,0.71095,0.00023,880.25,-0.27039,0.00022,301.25,0.65995,0.00026,741.5,-0.31934,0.00025,357.5,0.60339,0.00029,611.5,-0.37453,0.00028,422.25,0.54133,0.00031,491.5,-0.43624,0.00031,497.0,0.47407,0.00033,383.25,-0.50413,0.00033,583.75
2022-04-07,4496.25,4609.25,2022-04-07,0.71392,0.00023,892.75,-0.26739,0.00022,298.75,0.66351,0.00026,753.5,-0.31582,0.00025,354.75,0.60759,0.00028,621.0,-0.37033,0.00028,417.25,0.54568,0.00031,497.5,-0.43179,0.00031,488.5,0.47789,0.00033,386.0,-0.50016,0.00034,571.75
2022-04-08,4483.5,4597.0,2022-04-08,0.71201,0.00023,878.5,-0.26899,0.00022,296.5,0.66082,0.00026,739.5,-0.31815,0.00025,352.5,0.60398,0.00029,608.75,-0.3736,0.00028,417.0,0.5415,0.00031,488.5,-0.43569,0.00031,491.5,0.47374,0.00033,380.25,-0.50409,0.00034,578.0
2022-04-11,4409.0,4522.0,2022-04-11,0.69447,0.00024,825.0,-0.28576,0.00023,316.5,0.64108,0.00027,689.75,-0.33727,0.00026,376.0,0.58218,0.0003,563.0,-0.3952,0.00029,444.25,0.51765,0.00032,447.25,-0.45961,0.00032,523.25,0.44844,0.00034,344.25,-0.53007,0.00034,615.0
2022-04-12,4393.0,4497.0,2022-04-12,0.68837,0.00024,810.0,-0.29203,0.00023,325.75,0.63451,0.00027,676.5,-0.34422,0.00027,387.0,0.57509,0.0003,549.5,-0.40274,0.0003,455.25,0.50955,0.00032,432.25,-0.46841,0.00033,532.5,0.43874,0.00034,328.5,-0.54065,0.00035,623.5
2022-04-13,4442.25,4547.0,2022-04-13,0.70151,0.00024,839.25,-0.27969,0.00023,305.5,0.64848,0.00027,703.0,-0.33086,0.00026,364.5,0.58991,0.0003,574.5,-0.38839,0.00029,431.25,0.52539,0.00032,456.0,-0.45272,0.00032,507.5,0.45554,0.00034,350.0,-0.52356,0.00035,596.75
2022-04-14,4387.5,4498.0,2022-04-14,0.68928,0.00025,804.25,-0.29066,0.00024,318.25,0.63489,0.00027,670.0,-0.34342,0.00027,379.5,0.57484,0.0003,544.25,-0.40256,0.0003,448.75,0.50899,0.00033,429.0,-0.46847,0.00033,528.5,0.43818,0.00034,326.75,-0.54049,0.00035,621.5
2022-04-15,4387.5,4498.0,2022-04-15,0.68928,0.00025,804.25,-0.29066,0.00024,318.25,0.63489,0.00027,670.0,-0.34342,0.00027,379.5,0.57484,0.0003,544.25,-0.40256,0.0003,448.75,0.50899,0.00033,429.0,-0.46847,0.00033,528.5,0.43818,0.00034,326.75,-0.54049,0.00035,621.5
2022-04-18,4386.75,4498.25,2022-04-18,0.68967,0.00025,802.75,-0.29046,0.00024,317.0,0.6351,0.00028,668.75,-0.34331,0.00027,378.0,0.57488,0.0003,542.75,-0.40262,0.0003,447.0,0.50873,0.00033,427.0,-0.46883,0.00033,526.25,0.43767,0.00034,325.0,-0.54128,0.00035,619.0
2022-04-19,4459.25,4578.25,2022-04-19,0.70956,0.00024,854.5,-0.27114,0.00023,290.5,0.65691,0.00027,716.25,-0.32178,0.00026,347.5,0.59846,0.0003,586.5,-0.37891,0.00029,412.75,0.5341,0.00032,466.75,-0.4429,0.00032,488.0,0.46436,0.00034,359.75,-0.51351,0.00035,575.75
2022-04-20,4455.5,4575.0,2022-04-20,0.70863,0.00024,851.0,-0.2716,0.00023,290.75,0.65578,0.00027,713.0,-0.32236,0.00026,348.0,0.59716,0.0003,583.5,-0.3796,0.00029,413.25,0.53267,0.00032,464.25,-0.44375,0.00032,488.5,0.46281,0.00034,357.5,-0.51452,0.00035,576.5
2022-04-21,4390.5,4515.0,2022-04-21,0.69333,0.00025,809.5,-0.28529,0.00024,308.0,0.6388,0.00028,675.0,-0.33784,0.00027,368.25,0.57872,0.0003,548.75,-0.39687,0.0003,437.0,0.51284,0.00033,433.25,-0.46266,0.00033,516.0,0.44209,0.00034,330.75,-0.53471,0.00035,608.25
2022-04-22,4267.25,4393.0,2022-04-22,0.66171,0.00026,728.5,-0.31511,0.00025,346.25,0.60404,0.00029,601.0,-0.37126,0.00028,413.25,0.54118,0.00031,483.25,-0.4337,0.00031,490.0,0.47342,0.00033,377.0,-0.50216,0.00034,578.25,0.40224,0.00034,284.25,-0.57575,0.00035,680.0
2022-04-25,4292.75,4407.0,2022-04-25,0.66651,0.00026,732.75,-0.31139,0.00025,336.75,0.60865,0.00029,604.25,-0.36768,0.00029,403.0,0.54549,0.00032,486.0,-0.43035,0.00031,479.25,0.47743,0.00033,379.5,-0.49909,0.00034,567.0,0.40583,0.00034,286.25,-0.57292,0.00036,668.5
2022-04-26,4170.5,4277.0,2022-04-26,0.63106,0.00028,652.5,-0.3457,0.00027,383.0,0.57038,0.0003,533.5,-0.40546,0.0003,458.5,0.50522,0.00032,424.5,-0.47091,0.00033,544.0,0.43567,0.00034,325.75,-0.54193,0.00035,640.0,0.36317,0.00034,239.75,-0.61774,0.00036,749.0
2022-04-27,4180.25,4301.0,2022-04-27,0.63809,0.00028,661.25,-0.33889,0.00027,368.0,0.57709,0.00031,537.25,-0.3989,0.0003,439.0,0.51052,0.00033,423.75,-0.4655,0.00033,520.25,0.43914,0.00034,322.75,-0.53833,0.00035,613.75,0.36504,0.00035,236.5,-0.61552,0.00037,722.75
2022-04-28,4283.5,4398.0,2022-04-28,0.66398,0.00027,724.25,-0.31312,0.00026,336.75,0.60563,0.00029,596.0,-0.36992,0.00029,403.25,0.54187,0.00032,477.5,-0.43322,0.00032,479.5,0.47288,0.00034,370.5,-0.50288,0.00034,567.0,0.40007,0.00035,277.0,-0.5779,0.00036,668.5
2022-04-29,4127.5,4248.0,2022-04-29,0.62243,0.00029,627.25,-0.35289,0.00028,386.0,0.56014,0.00031,508.25,-0.41433,0.00031,461.5,0.49298,0.00033,399.75,-0.48182,0.00033,547.75,0.42166,0.00034,303.25,-0.55508,0.00036,645.75,0.34822,0.00034,221.0,-0.63229,0.00036,758.5
2022-05-02,4151.0,4262.0,2022-05-02,0.6268,0.00029,631.0,-0.34895,0.00028,376.25,0.56428,0.00031,511.75,-0.41051,0.00031,451.5,0.49695,0.00033,403.0,-0.47823,0.00034,537.0,0.42526,0.00035,305.75,-0.5517,0.00036,634.5,0.3513,0.00035,222.75,-0.62952,0.00037,746.25
2022-05-03,4169.25,4282.0,2022-05-03,0.63275,0.00029,637.75,-0.34305,0.00028,363.5,0.56984,0.00032,513.5,-0.40493,0.00031,433.75,0.501,0.00034,400.5,-0.47401,0.00034,515.25,0.42737,0.00035,301.5,-0.54934,0.00037,610.75,0.35193,0.00035,218.75,-0.62865,0.00038,722.75
2022-05-04,4295.25,4407.0,2022-05-04,0.63275,0.00029,715.75,-0.34305,0.00028,320.0,0.56984,0.00032,586.75,-0.40493,0.00031,385.5,0.501,0.00034,467.5,-0.47401,0.00034,460.75,0.42737,0.00035,359.25,-0.54934,0.00037,546.75,0.35193,0.00035,264.75,-0.62865,0.00038,646.75
2022-05-05,4143.25,4245.0,2022-05-05,0.62193,0.00029,621.5,-0.35374,0.00028,383.0,0.55882,0.00032,500.0,-0.41602,0.00031,456.25,0.49026,0.00034,390.0,-0.48494,0.00034,541.0,0.41752,0.00035,293.75,-0.55974,0.00036,639.25,0.3432,0.00035,213.0,-0.63791,0.00037,753.75
2022-05-06,4119.5,4225.0,2022-05-06,0.61639,0.00029,606.5,-0.35949,0.00029,387.75,0.55249,0.00032,486.75,-0.42271,0.00032,462.5,0.48331,0.00034,378.75,-0.49248,0.00035,548.75,0.41027,0.00035,284.5,-0.56772,0.00036,649.25,0.33624,0.00035,206.0,-0.64605,0.00037,765.75
2022-05-09,3987.5,4082.0,2022-05-09,0.57384,0.00031,523.0,-0.40207,0.00031,443.25,0.50658,0.00033,412.25,-0.46957,0.00034,527.0,0.43489,0.00035,314.0,-0.54288,0.00036,623.25,0.3611,0.00035,230.5,-0.62012,0.00037,734.75,0.28898,0.00033,163.25,-0.69805,0.00036,863.0
2022-05-10,3996.75,4092.0,2022-05-10,0.57667,0.00031,523.5,-0.39942,0.00031,434.0,0.50908,0.00033,413.0,-0.46717,0.00034,518.0,0.43709,0.00035,314.75,-0.54053,0.00036,614.75,0.36277,0.00035,230.75,-0.6183,0.00037,725.5,0.28975,0.00034,162.75,-0.69704,0.00037,853.0
2022-05-11,3930.25,4025.0,2022-05-11,0.55445,0.00032,477.5,-0.42102,0.00032,453.25,0.48475,0.00034,373.5,-0.49121,0.00035,544.0,0.41194,0.00035,282.5,-0.56613,0.00037,647.75,0.33799,0.00035,205.25,-0.64409,0.00037,765.75,0.26699,0.00033,143.75,-0.72162,0.00036,900.0
2022-05-12,3927.25,4015.0,2022-05-12,0.55112,0.00033,469.0,-0.42489,0.00033,454.25,0.47948,0.00035,361.0,-0.49707,0.00036,541.25,0.40383,0.00036,267.75,-0.57502,0.00038,642.75,0.32799,0.00036,191.75,-0.65524,0.00038,762.0,0.25682,0.00033,133.25,-0.73349,0.00037,899.25
2022-05-13,4019.75,4110.0,2022-05-13,0.58139,0.00032,519.5,-0.39448,0.00032,412.25,0.51246,0.00034,409.25,-0.46338,0.00034,496.75,0.43938,0.00036,311.75,-0.53776,0.00037,594.25,0.36404,0.00036,228.25,-0.61618,0.00038,706.0,0.28961,0.00034,160.0,-0.69599,0.00037,833.5
2022-05-16,4004.75,4100.0,2022-05-16,0.57838,0.00032,514.75,-0.39769,0.00032,417.25,0.50924,0.00034,404.5,-0.4669,0.00035,501.75,0.43579,0.00036,307.0,-0.54174,0.00037,599.25,0.35991,0.00036,223.5,-0.62083,0.00038,711.0,0.28533,0.00034,156.0,-0.7012,0.00037,839.0
2022-05-17,4084.75,4188.0,2022-05-17,0.60573,0.00031,565.25,-0.37027,0.0003,382.0,0.5385,0.00034,448.5,-0.43704,0.00034,460.25,0.4661,0.00035,344.25,-0.51023,0.00036,550.75,0.39016,0.00036,254.0,-0.58864,0.00038,655.5,0.31397,0.00035,179.75,-0.66947,0.00038,776.75
2022-05-18,3922.75,4023.0,2022-05-18,0.55329,0.00033,471.75,-0.42217,0.00033,449.5,0.48216,0.00035,365.25,-0.49386,0.00036,537.5,0.40721,0.00036,272.5,-0.57105,0.00037,639.5,0.3311,0.00036,195.0,-0.65165,0.00038,757.0,0.25819,0.00033,134.0,-0.73183,0.00037,891.75
2022-05-19,3897.75,3997.0,2022-05-19,0.54344,0.00034,446.75,-0.43218,0.00034,449.75,0.47014,0.00036,342.5,-0.50627,0.00037,540.0,0.39345,0.00037,252.75,-0.58557,0.00038,645.0,0.31646,0.00036,178.75,-0.6673,0.00039,766.5,0.24394,0.00033,121.5,-0.74762,0.00037,905.25
2022-05-20,3899.5,3988.0,2022-05-20,0.53979,0.00034,437.0,-0.43597,0.00034,448.75,0.46462,0.00037,330.5,-0.51202,0.00037,537.0,0.38554,0.00038,240.0,-0.5939,0.00039,641.25,0.30724,0.00036,167.75,-0.67732,0.00039,764.5,0.23515,0.00033,113.5,-0.75732,0.00037,906.5
2022-05-23,3971.75,4052.0,2022-05-23,0.56205,0.00033,479.25,-0.41356,0.00033,428.75,0.49012,0.00035,370.25,-0.48584,0.00036,514.5,0.4139,0.00037,275.5,-0.56408,0.00038,614.5,0.33639,0.00036,196.75,-0.64547,0.00039,731.25,0.26236,0.00034,135.25,-0.72621,0.00038,865.5
2022-05-24,3940.5,4026.0,2022-05-24,0.55381,0.00033,465.0,-0.42251,0.00033,439.75,0.48176,0.00036,359.75,-0.49507,0.00036,529.25,0.40627,0.00036,268.5,-0.57278,0.00038,632.75,0.33011,0.00036,192.5,-0.65303,0.00038,752.25,0.25777,0.00034,133.0,-0.73254,0.00037,888.25
2022-05-25,3976.75,4063.0,2022-05-25,0.56603,0.00033,484.75,-0.41039,0.00033,423.25,0.49462,0.00035,376.75,-0.4821,0.00036,510.25,0.41924,0.00037,282.5,-0.55927,0.00038,611.0,0.34254,0.00036,203.5,-0.63973,0.00038,727.25,0.26857,0.00034,140.75,-0.71951,0.00037,860.75
2022-05-26,4055.75,4143.0,2022-05-26,0.59212,0.00032,534.5,-0.38458,0.00031,395.25,0.52317,0.00034,421.25,-0.45328,0.00034,476.75,0.4496,0.00036,321.0,-0.52788,0.00037,571.75,0.3735,0.00036,235.5,-0.60684,0.00038,681.25,0.29839,0.00035,166.0,-0.68683,0.00038,807.5
2022-05-27,4155.75,4244.0,2022-05-27,0.62344,0.0003,596.75,-0.35377,0.0003,358.75,0.55732,0.00033,477.0,-0.41906,0.00033,434.25,0.486,0.00035,370.0,-0.49079,0.00036,522.0,0.4108,0.00036,276.5,-0.56791,0.00038,623.5,0.33472,0.00036,198.75,-0.64775,0.00038,741.25
2022-05-30,4155.75,4244.0,2022-05-30,0.62344,0.0003,596.75,-0.35377,0.0003,358.75,0.55732,0.00033,477.0,-0.41906,0.00033,434.25,0.486,0.00035,370.0,-0.49079,0.00036,522.0,0.4108,0.00036,276.5,-0.56791,0.00038,623.5,0.33472,0.00036,198.75,-0.64775,0.00038,741.25
2022-05-31,4131.25,4231.0,2022-05-31,0.61915,0.0003,589.5,-0.35745,0.0003,364.25,0.5529,0.00033,471.5,-0.42292,0.00033,441.5,0.4817,0.00035,365.75,-0.49459,0.00036,530.5,0.40668,0.00036,273.0,-0.57161,0.00037,632.75,0.33061,0.00036,195.5,-0.65158,0.00038,750.75
2022-06-01,4101.75,4200.0,2022-06-01,0.60944,0.00031,566.5,-0.3665,0.00031,371.75,0.54185,0.00034,450.0,-0.43357,0.00034,450.0,0.46919,0.00036,346.0,-0.50683,0.00036,541.0,0.3933,0.00036,256.25,-0.58515,0.00038,646.0,0.31729,0.00036,182.25,-0.66543,0.00038,767.75
2022-06-02,4178.0,4277.0,2022-06-02,0.63303,0.0003,613.0,-0.34339,0.00029,343.5,0.56732,0.00033,491.0,-0.40804,0.00033,416.0,0.49602,0.00035,381.25,-0.47959,0.00036,501.0,0.42046,0.00037,285.5,-0.55694,0.00038,600.0,0.34367,0.00036,205.75,-0.63761,0.00039,715.25
2022-06-03,4109.5,4209.0,2022-06-03,0.61225,0.00031,570.0,-0.36367,0.00031,366.5,0.54441,0.00034,451.25,-0.43089,0.00034,442.5,0.47118,0.00036,346.0,-0.50482,0.00037,531.75,0.3944,0.00037,255.25,-0.58398,0.00038,636.0,0.31796,0.00036,181.5,-0.66511,0.00039,757.5
2022-06-06,4123.0,4228.0,2022-06-06,0.61803,0.00031,583.25,-0.35792,0.0003,361.25,0.55106,0.00034,464.75,-0.4241,0.00033,437.5,0.47884,0.00036,358.5,-0.49688,0.00036,525.75,0.40266,0.00037,265.75,-0.57524,0.00038,628.0,0.32586,0.00036,189.25,-0.65643,0.00038,746.75
2022-06-07,4161.0,4266.0,2022-06-07,0.62935,0.0003,611.0,-0.34687,0.00029,352.0,0.56388,0.00033,488.5,-0.41134,0.00033,424.25,0.49251,0.00035,377.75,-0.48306,0.00036,508.0,0.41676,0.00037,281.75,-0.56078,0.00038,606.75,0.33982,0.00036,202.25,-0.64181,0.00039,722.25
2022-06-08,4116.0,4221.0,2022-06-08,0.61581,0.00031,579.5,-0.36002,0.0003,364.5,0.54859,0.00034,460.0,-0.42651,0.00034,439.5,0.47561,0.00036,352.5,-0.50004,0.00037,526.75,0.39873,0.00037,260.0,-0.57928,0.00038,629.0,0.32198,0.00036,185.0,-0.66076,0.00039,749.0
2022-06-09,4017.5,4122.0,2022-06-09,0.58431,0.00032,516.5,-0.3906,0.00032,397.75,0.51386,0.00035,403.5,-0.46084,0.00035,479.5,0.4385,0.00037,303.75,-0.53765,0.00038,574.25,0.36066,0.00037,219.5,-0.61893,0.00039,685.0,0.28496,0.00035,152.75,-0.70067,0.00038,813.75
2022-06-10,3900.5,4010.0,2022-06-10,0.54613,0.00034,449.25,-0.4272,0.00034,439.5,0.47299,0.00036,345.75,-0.50101,0.00037,530.5,0.39676,0.00037,256.5,-0.57974,0.00038,636.0,0.3206,0.00036,183.0,-0.66087,0.00039,757.5,0.24884,0.00033,125.75,-0.74039,0.00037,896.25
2022-06-13,3753.5,3870.0,2022-06-13,0.49691,0.00035,376.0,-0.47554,0.00036,502.0,0.42305,0.00036,286.25,-0.55154,0.00038,606.5,0.34749,0.00036,208.25,-0.63141,0.00039,723.25,0.27396,0.00034,145.0,-0.71242,0.00038,855.25,0.20775,0.00031,97.75,-0.78962,0.00036,1004.5
2022-06-14,3740.25,3860.0,2022-06-14,0.48957,0.00036,359.0,-0.48112,0.00037,494.5,0.41214,0.00038,266.75,-0.56107,0.00039,596.25,0.33379,0.00037,190.0,-0.64481,0.0004,713.75,0.25892,0.00035,129.75,-0.72858,0.00039,848.75,0.19371,0.00031,86.5,-0.80716,0.00037,1002.0
2022-06-15,3793.5,3910.0,2022-06-15,0.50651,0.00036,378.25,-0.464,0.00037,465.25,0.42836,0.00038,281.5,-0.54421,0.0004,562.25,0.34903,0.00038,201.75,-0.62859,0.00041,676.25,0.27329,0.00036,139.5,-0.71288,0.0004,808.75,0.2061,0.00032,93.75,-0.79265,0.00038,959.25
2022-06-16,3671.25,3787.0,2022-06-16,0.4616,0.00037,319.25,-0.51049,0.00038,525.75,0.38367,0.00038,235.0,-0.59196,0.0004,635.25,0.30694,0.00037,166.25,-0.6752,0.0004,761.0,0.23602,0.00033,113.5,-0.75613,0.00039,904.0,0.17612,0.00029,76.25,-0.83034,0.00036,1063.75
2022-06-17,3675.75,3784.0,2022-06-17,0.45946,0.00038,314.75,-0.51273,0.00039,524.0,0.38074,0.00038,230.5,-0.59499,0.0004,633.75,0.30327,0.00037,162.0,-0.67891,0.0004,760.0,0.23211,0.00034,110.0,-0.76029,0.00039,903.75,0.172,0.00029,73.25,-0.83531,0.00036,1064.0
2022-06-20,3675.75,3784.0,2022-06-20,0.45946,0.00038,314.75,-0.51273,0.00039,524.0,0.38074,0.00038,230.5,-0.59499,0.0004,633.75,0.30327,0.00037,162.0,-0.67891,0.0004,760.0,0.23211,0.00034,110.0,-0.76029,0.00039,903.75,0.172,0.00029,73.25,-0.83531,0.00036,1064.0
2022-06-21,3767.75,3879.0,2022-06-21,0.49459,0.00037,358.75,-0.47675,0.00038,476.0,0.41619,0.00038,266.75,-0.55745,0.0004,578.0,0.33771,0.00038,191.25,-0.64073,0.00041,697.0,0.26417,0.00035,133.0,-0.72258,0.0004,833.75,0.19974,0.00031,90.25,-0.79935,0.00037,987.25
2022-06-22,3762.75,3863.0,2022-06-22,0.48918,0.00037,352.0,-0.4828,0.00038,484.75,0.41113,0.00038,262.0,-0.56327,0.0004,588.75,0.33331,0.00037,188.0,-0.64625,0.0004,709.0,0.26004,0.00035,130.25,-0.72786,0.00039,846.5,0.19567,0.00031,87.75,-0.80481,0.00037,1000.5
